institution_shortname,institution_dept,institution_name,institution_street,institution_city_or_municipal,institution_state_or_province,institution_country,institution_postal,author_list_id (leave blank for now),old_string,ldap_o
MadisonAstro,Dept. of Astronomy,University of Wisconsin,,Madison,Wisconsin,USA,53706,IceCube,"Dept. of Astronomy, University of Wisconsin, Madison, WI 53706, USA",uwmad
Madison,Dept. of Physics,University of Wisconsin,,Madison,Wisconsin,USA,53706,IceCube,"Dept. of Physics, University of Wisconsin, Madison, WI 53706, USA",uwmad
MadisonPAC,Dept. of Physics and Wisconsin IceCube Particle Astrophysics Center,University of Wisconsin,,Madison,Wisconsin,USA,53706,IceCube,"Dept. of Physics and Wisconsin IceCube Particle Astrophysics Center, University of Wisconsin, Madison, WI 53706, USA",uwmad
Mainz,Institute of Physics,University of Mainz,Staudinger Weg 7,Mainz,,Germany,D-55099,IceCube,"Institute of Physics, University of Mainz, Staudinger Weg 7, D-55099 Mainz, Germany",sdsmt
Manchester,School of Physics and Astronomy,The University of Manchester,Oxford Road,Manchester,,United Kingdom,M13 9PL,PINGU,"School of Physics and Astronomy, The University of Manchester, Oxford Road, Manchester, M13 9PL, United Kingdom",manchester
Marquette,Department of Physics,Marquette University,,Milwaukee,Wisconsin,USA,53201,IceCube,"Department of Physics, Marquette University, Milwaukee, WI, 53201, USA",marquette
Monsold,,University of Mons-Hainaut,,Mons,,Belgium,7000,IceCube,"University of Mons-Hainaut, 7000 Mons, Belgium",umh
Mons,,Université de Mons,,Mons,,Belgium,7000,IceCube,"Université de Mons, 7000 Mons, Belgium",umh
Montreal,,McGill University,3600 rue University,Montréal,Quebec,Canada,H2A 2T8,IceCube,"McGill University, 3600 rue University, Montréal, QC, H2A 2T8, Canada",
MEPhI,,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,Moscow,,Russia,,IceCube,"National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Moscow, Russia",mephi
Munichold,,T.U. Munich,,Munich,,Germany,D-85748,IceCube,"T.U. Munich, D-85748 Garching, Germany",munchen
Munich,Physik-department,Technische Universität München,,Munich,,Germany,D-85748,IceCube,"Physik-department, Technische Universität München, D-85748 Garching, Germany",munchen
MunichMPI,,Max-Planck-Institut für Physik (Werner Heisenberg Institut),Föhringer Ring 6,Munich,,Germany,D-80805,IceCube,"Max-Planck-Institut für Physik (Werner Heisenberg Institut), Föhringer Ring 6, D-80805 München, Germany",munchen
